01/01/2025 16:20:45 - Tradução iniciada em: 2025-01-01_16-20-45
01/01/2025 16:20:46 - Processando página 1 de 306
01/01/2025 16:20:46 - Processando página 2 de 306
01/01/2025 16:20:46 - Processando página 3 de 306
01/01/2025 16:20:46 - Processando página 4 de 306
01/01/2025 16:20:46 - Processando página 5 de 306
01/01/2025 16:20:47 - Processando página 6 de 306
01/01/2025 16:20:47 - Processando página 7 de 306
01/01/2025 16:20:47 - Processando página 8 de 306
01/01/2025 16:20:47 - Processando página 9 de 306
01/01/2025 16:20:47 - Processando página 10 de 306
01/01/2025 16:20:48 - Processando página 11 de 306
01/01/2025 16:20:48 - Processando página 12 de 306
01/01/2025 16:20:48 - Processando página 13 de 306
01/01/2025 16:20:49 - Processando página 14 de 306
01/01/2025 16:20:49 - Processando página 15 de 306
01/01/2025 16:20:49 - Processando página 16 de 306
01/01/2025 16:20:49 - Processando página 17 de 306
01/01/2025 16:20:50 - Processando página 18 de 306
01/01/2025 16:20:50 - Processando página 19 de 306
01/01/2025 16:20:51 - Processando página 20 de 306
01/01/2025 16:20:51 - Processando página 21 de 306
01/01/2025 16:20:52 - Processando página 22 de 306
01/01/2025 16:20:52 - Processando página 23 de 306
01/01/2025 16:20:52 - Processando página 24 de 306
01/01/2025 16:20:53 - Processando página 25 de 306
01/01/2025 16:20:53 - Processando página 26 de 306
01/01/2025 16:20:53 - Processando página 27 de 306
01/01/2025 16:20:54 - Processando página 28 de 306
01/01/2025 16:20:54 - Processando página 29 de 306
01/01/2025 16:20:54 - Processando página 30 de 306
01/01/2025 16:20:54 - Processando página 31 de 306
01/01/2025 16:20:55 - Processando página 32 de 306
01/01/2025 16:20:55 - Processando página 33 de 306
01/01/2025 16:20:55 - Processando página 34 de 306
01/01/2025 16:20:57 - Processando página 35 de 306
01/01/2025 16:20:58 - Processando página 36 de 306
01/01/2025 16:20:58 - Processando página 37 de 306
01/01/2025 16:20:58 - Processando página 38 de 306
01/01/2025 16:20:58 - Processando página 39 de 306
01/01/2025 16:20:58 - Processando página 40 de 306
01/01/2025 16:20:59 - Processando página 41 de 306
01/01/2025 16:20:59 - Processando página 42 de 306
01/01/2025 16:20:59 - Processando página 43 de 306
01/01/2025 16:21:00 - Processando página 44 de 306
01/01/2025 16:21:00 - Processando página 45 de 306
01/01/2025 16:21:00 - Processando página 46 de 306
01/01/2025 16:21:01 - Processando página 47 de 306
01/01/2025 16:21:01 - Processando página 48 de 306
01/01/2025 16:21:02 - Processando página 49 de 306
01/01/2025 16:21:02 - Processando página 50 de 306
01/01/2025 16:21:02 - Processando página 51 de 306
01/01/2025 16:21:03 - Processando página 52 de 306
01/01/2025 16:21:03 - Processando página 53 de 306
01/01/2025 16:21:03 - Processando página 54 de 306
01/01/2025 16:21:04 - Processando página 55 de 306
01/01/2025 16:21:04 - Processando página 56 de 306
01/01/2025 16:21:04 - Processando página 57 de 306
01/01/2025 16:21:05 - Processando página 58 de 306
01/01/2025 16:21:05 - Processando página 59 de 306
01/01/2025 16:21:05 - Processando página 60 de 306
01/01/2025 16:21:05 - Processando página 61 de 306
01/01/2025 16:21:06 - Processando página 62 de 306
01/01/2025 16:21:06 - Processando página 63 de 306
01/01/2025 16:21:06 - Processando página 64 de 306
01/01/2025 16:21:06 - Processando página 65 de 306
01/01/2025 16:21:07 - Processando página 66 de 306
01/01/2025 16:21:07 - Processando página 67 de 306
01/01/2025 16:21:07 - Processando página 68 de 306
01/01/2025 16:21:08 - Processando página 69 de 306
01/01/2025 16:21:08 - Processando página 70 de 306
01/01/2025 16:21:08 - Processando página 71 de 306
01/01/2025 16:21:09 - Processando página 72 de 306
01/01/2025 16:21:09 - Processando página 73 de 306
01/01/2025 16:21:09 - Processando página 74 de 306
01/01/2025 16:21:10 - Processando página 75 de 306
01/01/2025 16:21:10 - Processando página 76 de 306
01/01/2025 16:21:10 - Processando página 77 de 306
01/01/2025 16:21:10 - Processando página 78 de 306
01/01/2025 16:21:11 - Processando página 79 de 306
01/01/2025 16:21:11 - Processando página 80 de 306
01/01/2025 16:21:11 - Processando página 81 de 306
01/01/2025 16:21:12 - Processando página 82 de 306
01/01/2025 16:21:12 - Processando página 83 de 306
01/01/2025 16:21:12 - Processando página 84 de 306
