01/01/2025 19:59:25 - Tradução iniciada em: 2025-01-01_19-59-25
01/01/2025 19:59:25 - Processando página 1 de 306
01/01/2025 19:59:25 - Processando página 2 de 306
01/01/2025 19:59:25 - Processando página 3 de 306
01/01/2025 19:59:26 - Processando página 4 de 306
01/01/2025 19:59:26 - Processando página 5 de 306
01/01/2025 19:59:26 - Processando página 6 de 306
01/01/2025 19:59:27 - Processando página 7 de 306
01/01/2025 19:59:27 - Processando página 8 de 306
01/01/2025 19:59:27 - Processando página 9 de 306
01/01/2025 19:59:28 - Processando página 10 de 306
01/01/2025 19:59:28 - Processando página 11 de 306
01/01/2025 19:59:28 - Processando página 12 de 306
